"air3-link","air3-link href","highlight","highlight 2","air3-badge-tagline","sr-only 3","air3-rating-value-text","air3-popper-content","air3-badge-tagline 2","air3-badge-tagline 4","job-tile-info-list","job-tile-info-list 2","mr-1","job-tile-info-list 3","mb-0","highlight 3","highlight 4","highlight 5","highlight-color","air3-token","air3-token 2","air3-token 3","air3-token 4","air3-token 5","pr-6","air3-token 6"
"Looking for a skilled & reliable JavaScript","https://www.upwork.com/jobs/Looking-for-skilled-amp-reliable-JavaScript-span-class-highlight-developer-span_~021915218575338573911/?referrer_url_path=/nx/search/jobs/","developer","","Payment verified","Rating is 0 out of 5.","0","No feedback yet","$0","United States","Fixed price","Expert","Est. budget:","$250.00","I'm looking for a skilled and reliable JavaScript  to help me with a small web project.
The goal is to build a lightweight, clean, and efficient solution — no bloated frameworks unless necessary.

Project Overview:

Create a simple web-based tool / page (details will be shared after hire).

Must use vanilla JavaScript or minimal libraries (small jQuery or similar is OK if justified).

Focus on good structure, performance, and clean coding standards.

Basic responsive design (mobile/tablet friendly) preferred.

Key Requirements:

Strong experience with JavaScript, HTML, and CSS.

Ability to build functional and clean UIs.

Familiarity with API integration (if needed).

Good communication skills and ability to deliver quickly.

Clean and readable code (please avoid overcomplicated solutions).","developer","","","Web Development","JavaScript","CSS","HTML","WordPress","","15 to 20",""
"Adobe Creative Cloud Backup app","https://www.upwork.com/jobs/Adobe-Creative-Cloud-Backup-app_~021915223488243699200/?referrer_url_path=/nx/search/jobs/","","","Payment verified","Rating is 5.0 out of 5.","5.0","4.99 Stars, based on 32 feedbacks","$20K+","United States","Fixed price","Intermediate","Est. budget:","$1,500.00","I need an app that will backup Adobe Creative Cloud files to the Filecoin storage network, using a service called CID gravity.  We also need superuser portal to manage users and a user account management module for users to add, pause and delete accounts. Here are the approximate steps:

Set Up  Accounts

Register Adobe  account and configure Frame.io OAuth Web App.

Register for CID Gravity Integrator access and obtain API key.  May need to also set up a Filecoin wallet to get an address to send files to Filecoin storage providers.

Set Up Middleware Hosting

Choose a hosting environment (preferably free to start).

Create a Node.js/Express or Python/Flask app.

Build OAuth Authentication Module

Implement Adobe OAuth redirect and token exchange.

Store tokens securely.

Build File Fetch Module

List assets from Frame.io project.

Download/stream files.

Build Upload Module for CID Gravity

Integrate API to send files to Filecoin.

Handle CID generation and response handling.

Add Scheduler

Set up cron job to run daily backup.

Monitoring & Logs

Save logs to a file or database.

Optionally send Slack/email alerts.

Testing & Verification

Test end-to-end with small files.

Confirm storage deal via CID Gravity dashboard.

For user management and payment:
Phase 1: Set Up Core Infrastructure

✅ Choose backend tech  (Node.js + Express or Django)

✅ Set up database (PostgreSQL or MongoDB)

Phase 2: User System & Authentication
🔹 Use Auth0 or Firebase Auth for secure user management

🔹 Enable:

User sign-up / login

Forgot password

Email verification

🔹 Assign user roles (user vs admin)

Phase 3: Superuser/Admin Dashboard
🔹 Admin login

🔹 View all users and their:

Backup history

Payment status

Plan type

🔹 Ability to:

Pause, delete, or reset accounts

Trigger manual backup jobs

Phase 4: Stripe Integration
🔹 Set up a Stripe account

🔹 Create:

Monthly & annual plans (with trial period if needed)

Webhooks to trigger:

Plan upgrades/downgrades

Backup service activation/deactivation

🔹 Use Stripe Customer Portal or build a custom one

Phase 5: User Account Dashboard
🔹 Show current plan, backup history, next billing date

🔹 Allow:

Upgrade/downgrade plan

Pause backups

Download logs/files (optional)

Cancel account

Phase 6: Connect to Backup Middleware
🔹 From user dashboard, allow:

OAuth connect to Adobe Creative Cloud (Frame.io)

View backup status

Trigger on-demand backup

🔹 Backup system stores:

User’s auth tokens (securely encrypted)

File backup metadata

CID Gravity logs / status","Developer","Developer","stack","Web Development","API Integration","Node.js","Filecoin","User Interface Design","Stripe API","15 to 20","Backup"
"Backend  w/ AI-Coding Tool Expertise (Copilot, CodeWhisperer","https://www.upwork.com/jobs/Backend-span-class-highlight-Developer-span-Coding-Tool-Expertise-Copilot-CodeWhisperer_~021915202809333786781/?referrer_url_path=/nx/search/jobs/","Developer","","Payment unverified","Rating is 0 out of 5.","0","No feedback yet","$0","India","Fixed price","Expert","Est. budget:","$1,000.00","We’re building a data-intensive web application and need a backend engineer who isn’t just a great coder, but who leverages AI coding assistants (e.g., GitHub Copilot, Amazon CodeWhisperer, TabNine) to dramatically accelerate . If you know how to translate business rules into clean, testable APIs and can scaffold database models, middleware, workflows and unit tests almost instantly with AI prompts, let’s talk.

What You’ll Do:
	•	Rapid Endpoint Generation: Use AI tools to spin up REST/GraphQL routes with input validation, error handling, and documentation.
	•	Schema & ORM Modeling: From plain-English data requirements, generate SQL/ORM models (Sequelize, SQLAlchemy, TypeORM) and migration scripts.
	•	Business Logic Implementation: Prompt AI to draft workflows (e.g., multi-step S3 uploads, queue consumers, event triggers) and refine edge cases.
	•	Automated Testing: Produce comprehensive unit/integration tests via AI-generated templates (Jest, PyTest, Mocha).
	•	CI/CD & DevOps: Write Dockerfiles, GitHub Actions or AWS CDK snippets using AI suggestions, then review and optimize.

Ideal Skills & Tools:
	•	Strong backend experience in Node.js, Python (Django/FastAPI), or Java (Spring Boot)
	•	Hands-on with at least one AI coding assistant: Copilot, CodeWhisperer, TabNine, or Replit Ghostwriter
	•	Deep understanding of REST/GraphQL, relational databases (PostgreSQL/MySQL) and/or NoSQL (MongoDB)
	•	Familiarity with cloud services (AWS, GCP, Azure) and IaC (Terraform, CDK)
	•	Solid testing practices: unit tests, mock frameworks, CI pipelines

Why You’ll Love This Gig:
	•	You’ll be at the cutting edge—melding human expertise with AI to deliver features 2×–5× faster.
	•	Clear, well-scoped tasks let the AI handle boilerplate so you can focus on core architecture.
	•	Opportunity for ongoing work: we plan to iterate rapidly and add new services.","development","","","Web Development","GitHub Copilot","Amazon CodeWhisperer","Tabnine","JavaScript","MySQL","5 to 10","Node.js"
"YouTube API  for Video Summary Project","https://www.upwork.com/jobs/YouTube-API-span-class-highlight-Developer-span-for-Video-Summary-Project_~021915194189126045184/?referrer_url_path=/nx/search/jobs/","Developer","","Payment unverified","Rating is 0 out of 5.","0","No feedback yet","$0","Australia","Fixed price","Intermediate","Est. budget:","$1,500.00","Project: Learning Tracker - Weekly YouTube Learning Summary Application

Project Overview:
We have a functional front-end prototype for a web application that helps users track and summarize their learning from YouTube videos. The application generates weekly digests of the key points from watched videos. We need a -  to implement the backend functionality and integrate it with our existing front-end.

Current State:
Complete front-end implementation using Next.js 13, TypeScript, and Tailwind CSS
UI components built with shadcn/ui library
Authentication flow designed (but needs implementation)
Database schema defined in Supabase
Front-end components for video management and digest viewing

Required Technical Skills:
Strong experience with Next.js and TypeScript
Supabase expertise (authentication, database, edge functions)
YouTube API integration
OpenAI API integration
Email service integration (Resend.com)
Experience with real-time features and background processing

Key Features to Implement:
Authentication System
Google OAuth integration via Supabase
User profile management
Admin role implementation
Video Processing System
YouTube video metadata extraction
Transcript fetching/generation
Integration with OpenAI for summarization
Background processing queue
Digest Generation
Weekly digest compilation
Email template creation and sending
PDF generation for downloads
Sharing functionality
Admin Features
User management
System settings configuration
Processing queue monitoring
Error handling and retries

What We'll Provide:
Complete front-end codebase
UI/UX designs and specifications
Supabase project credentials
Required API keys (YouTube, OpenAI, Resend)
Access to existing documentation

Expected Deliverables:
Complete backend implementation
Integration with existing front-end
Comprehensive testing suite
Documentation for:
API endpoints
Database schema
Deployment process
System architecture
Maintenance procedures

Please suggest expected time and budget to complete. We will work on a milestone basis.

Please include in your proposal:
Similar projects you've worked on
Experience with the required technologies
Approach to implementing the background processing system
Questions about the project scope or requirements
Availability for the next few weeks","full","stack","developer","","API","JavaScript","API Integration","Graphic Design","Python","15 to 20",""
"Web Platform  for Driving School","https://www.upwork.com/jobs/Web-Platform-span-class-highlight-Development-span-for-Driving-School_~021915145622062344349/?referrer_url_path=/nx/search/jobs/","Development","","Payment verified","Rating is 0 out of 5.","0","No feedback yet","$0","Morocco","Hourly","Intermediate","Est. time:","1 to 3 months, Less than 30 hrs/week","We are seeking a skilled web  to create a comprehensive online platform for a driving school. This platform should include learning modules, quizzes, and other interactive features to enhance the student experience. The ideal candidate will have experience in building educational websites and a keen understanding of user engagement. If you are passionate about designing intuitive web applications and can deliver high-quality work on time, we would love to hear from you!","developer","","","Web Development","JavaScript","PHP","WordPress","Web Design","","5 to 10",""
"Needed for Customer Engagement Tool in Property Sector","https://www.upwork.com/jobs/span-class-highlight-Full-span-span-class-highlight-Stack-span-span-class-highlight-Developer-span-Needed-for-Customer-Engagement-Tool-Property-Sector_~021915178211724732573/?referrer_url_path=/nx/search/jobs/","Full","Stack","Payment unverified","Rating is 0 out of 5.","0","No feedback yet","$0","Australia","Hourly: $30.00 - $50.00","Expert","Est. time:","1 to 3 months, 30+ hrs/week","Job Title:    for Customer Engagement Platform

Job Overview:
We are looking for a talented    to join our team in creating a cutting-edge customer engagement tool and research platform specifically designed for buyers in the real estate sector. The perfect candidate will possess a robust background in both front-end and back-end , along with an understanding of web scraping. This role presents an exciting chance to drive growth and innovation in a vibrant industry. Be part of our mission to democratize data access in real estate and empower buyers to make more informed decisions. You will be a key member of our small, agile engineering team and work closely with our CEO/Product Leader.

Key Responsibilities:
-  and implement features for the HomeRange web application using Next.js (React) and - TypeScript.   
- Build and maintain backend services and APIs (potentially using Next.js API routes or separate Node.js services on GCP Cloud Run).   
-Work with PostgreSQL databases using DrizzleORM.   
- Integrate with Firebase Authentication for user management.   
- Collaborate on designing database schemas and API endpoints.   
- Participate actively in agile ceremonies: daily stand-ups, sprint planning, reviews, and retrospectives.   
- Write clean, maintainable, and well-tested code.
- Contribute to the integration of various components, including the Chrome extension and external APIs (e.g., Stripe).

Qualifications:
- Proven experience as a   .
- Strong proficiency in TypeScript.   
- Extensive experience with Next.js and React.   
- Solid understanding of Node.js for backend .   
- Experience with relational databases, specifically PostgreSQL.   
- Experience with ORMs, preferably DrizzleORM.   
- Familiarity with cloud platforms, ideally Google Cloud Platform (GCP) including Cloud Run and Cloud SQL.   
- Experience building and consuming RESTful APIs.   
- Experience with user authentication mechanisms, preferably Firebase Authentication.   
- Proficiency with Git version control.
- Excellent communication and collaboration skills.

Desired/Bonus Skills:
- Experience developing Chrome extensions.   
- Experience with UI/UX design and implementation (Tailwind CSS, MUI).   
- Familiarity with background job processing (e.g., Upstash QStash).   
- Experience integrating with payment gateways like Stripe.   
- Knowledge of DevOps practices, CI/CD pipelines.   
- Basic understanding of or interest in Machine Learning concepts or infrastructure (Python, FastAPI).

Why Join Us?
HomeRange is an innovative platform designed to enhance the real estate buying experience in Australia. We are building a tool to help users search, manage, and collaborate on potential property purchases, consolidating data and streamlining communication. Our solution includes a sophisticated web application and a supporting Chrome extension. We are currently looking for a talented    to join our agile team on a contract basis to help build the core platform features.","Full","Stack","Developer","Web Development","API","API Integration","JavaScript","Python","","15 to 20",""
"Needed for User Account Persistence and Subscription Accessibility","https://www.upwork.com/jobs/span-class-highlight-Full-span-span-class-highlight-Stack-span-span-class-highlight-Developer-span-Needed-for-User-Account-Persistence-and-Subscription-Accessibility_~021915163876576464384/?referrer_url_path=/nx/search/jobs/","Full","Stack","Payment verified","Rating is 0 out of 5.","0","No feedback yet","$300+","AUS","Fixed price","Intermediate","Est. budget:","$10.00","We are seeking a skilled    to help enhance user account persistence and premium subscription accessibility for our writing tool. The ideal candidate should have proficiency in Supabase and experience in building robust backend systems and database knowledge . Your role will involve implementing user authentication, managing subscription tiers, and ensuring a seamless user experience. If you are passionate about developing efficient solutions and have a proactive approach to problem-solving, we would love to hear from you!","full","stack","developer","Web Development","JavaScript","WordPress","PHP","HTML","","Less than 5",""
"Secure Interactive Website","https://www.upwork.com/jobs/Secure-Interactive-Website-span-class-highlight-Development-span_~021915170699372655901/?referrer_url_path=/nx/search/jobs/","Development","","Payment verified","Rating is 0 out of 5.","0","No feedback yet","$0","Canada","Hourly","Intermediate","Est. time:","1 to 3 months, Not sure","I’m looking to hire a skilled web  to build a secure, interactive website from scratch. I already own the domain, but everything else (design, , deployment) will need to be completed.

✅Requirements:
Secure Login System: Authorized users only (login required to access content)
Interactive Map
-Based on a map I will provide as a PDF, needs to be converted probably using a script(s) (map attached)
-Each property on the map should be clickable/selectable
-Each property can be shaded with one of five colors: red, yellow, green, blue, or pink
-Users should be able to add and edit notes for each property
-Notes are saved and visible only when logged in

🎯 Deliverables:
-Fully developed and deployed website
-Clean, responsive design (desktop)
-Hosting setup (or guidance)
-Basic admin instructions for managing content

📌 What to Include in Your Proposal:
-Relevant project examples (especially with interactive maps or secure login systems)
-Your estimated timeline
-Your total price and breakdown (if hourly, your rate and estimated hours)

Looking to start ASAP, please provide a  project cost or hours estimate.","developer","development","full","Web Development","WordPress","JavaScript","Web Design","HTML","","15 to 20",""
"Fix Supabase Edge Function & RLS Policy Errors and Stripe Customer ID Issues","https://www.upwork.com/jobs/Fix-Supabase-Edge-Function-RLS-Policy-Errors-and-Stripe-Customer-Issues_~021915186979293629952/?referrer_url_path=/nx/search/jobs/","","","Payment verified","Rating is 0 out of 5.","0","No feedback yet","$0","Philippines","Fixed price","Intermediate","Est. budget:","$50.00","We are seeking a skilled  to troubleshoot and resolve errors related to Supabase Edge Functions and Row Level Security (RLS) policies. Additionally, expertise in handling Stripe customer ID issues is essential. The ideal candidate will have a strong understanding of Supabase, Stripe integration, and error resolution strategies. If you have a proven track record of fixing similar issues and can work independently to deliver solutions efficiently, we want to hear from you.","developer","","","","Supabase","Stripe","Stripe SDK","Next.js","","Less than 5",""
"Fix JavaScript for Mortgage Calculators","https://www.upwork.com/jobs/Fix-JavaScript-for-Mortgage-Calculators_~021915191283168290973/?referrer_url_path=/nx/search/jobs/","","","Payment verified","Rating is 5.0 out of 5.","5.0","5.00 Stars, based on 3 feedbacks","$400+","USA","Fixed price","Intermediate","Est. budget:","$10.00","I am looking for an experienced  to troubleshoot and fix 7 simple JavaScript-based Mortgage Calculators that are no longer functioning correctly. The task involves debugging and ensuring that the JavaScript and HTML code works seamlessly.","developer","","","","JavaScript","HTML","CSS","jQuery","HTML5","15 to 20",""
"In-House Software  for Screen Monitoring","https://www.upwork.com/jobs/House-Software-span-class-highlight-Development-span-for-Screen-Monitoring_~021915173102819141643/?referrer_url_path=/nx/search/jobs/","Development","","Payment verified","Rating is 3.0 out of 5.","3.0","3.03 Stars, based on 5 feedbacks","$1K+","India","Fixed price","Intermediate","Est. budget:","$1,000.00","We are looking for a skilled software  to create a custom in-house software solution for screen monitoring. The ideal candidate will have experience in developing applications that can capture screen activity, provide real-time monitoring, and ensure data security. You will work closely with our team to understand our specific requirements and deliver a functional and user-friendly product. If you have a passion for software  and are excited about building innovative solutions, we would love to hear from you!","developer","development","","","JavaScript","Java","C#","Android","Software Design","Less than 5",""
"Figma Plugin  – Custom Plugin Connected to Web App","https://www.upwork.com/jobs/Figma-Plugin-span-class-highlight-Developer-span-Custom-Plugin-Connected-Web-App_~021915169487056463883/?referrer_url_path=/nx/search/jobs/","Developer","","Payment verified","Rating is 5.0 out of 5.","5.0","4.99 Stars, based on 123 feedbacks","$20K+","Canada","Hourly: $3.00 - $3.00","Entry Level","Est. time:","Less than 1 month, Less than 30 hrs/week","We're building a custom workflow tool that connects Figma designs to a web-based platform for structured handoff and automation. We’re looking for a skilled Figma plugin  to create a plugin that enables layer scanning, naming validation, tagging, and seamless API integration.

The goal is to make it easy for designers to prepare and export designs into a system that automates specs, , and other downstream tasks.

Responsibilities:
 a custom Figma plugin from scratch

Scan Figma layers and extract metadata (name, type, hierarchy)

Build a naming convention validation system with real-time feedback

Create a tagging panel for users to apply preset tags (e.g., #button, #form, #ui, #admin)

Allow users to preview structured design data in a clean format (e.g., JSON)

Build a feature to send design data to a web app via API

Optional: Sync updates from the web app back into Figma (e.g., rename or tag layers)

Requirements:
Proven experience building Figma plugins

Proficiency in JavaScript or TypeScript

Solid understanding of the Figma Plugin API

Experience integrating with external APIs

Clean, user-friendly UI design skills

Strong communication and documentation abilities

Bonus Skills:
Familiarity with naming conventions in design systems

Experience with tools like Zeplin, Figma Tokens, or Anima

Interest in automation and product workflow optimization

Deliverables:
Fully functional plugin with:

Layer scanning

Naming validation

Tagging panel

Data export to API

Clear UI inside Figma

Documentation for setup and use","developer","development","Develop","","TypeScript","JavaScript","","","","Less than 5",""
"ChatGPT connect local database screen share Now","https://www.upwork.com/jobs/ChatGPT-connect-local-database-screen-share-Now_~021915177543120457216/?referrer_url_path=/nx/search/jobs/","","","Payment verified","Rating is 5.0 out of 5.","5.0","4.95 Stars, based on 11 feedbacks","$7K+","United States","Hourly: $15.00 - $100.00","Intermediate","Est. time:","3 to 6 months, Less than 30 hrs/week","Job Title: Immediate ChatGPT to PCMRP Integration on Windows via Screenshare

Description:

I’m looking for a  to help me integrate ChatGPT with PCMRP tonight. This will be a collaborative session via screenshare to get it done together.

Requirements:
	•	Available tonight for a real-time session
	•	Experienced with API integrations
	•	Familiarity with ChatGPT and PCMRP
	•	Comfortable working in Windows environments

Please share relevant experience and confirm availability.","developer","","","","Microsoft SQL Server","MySQL","JavaScript","C#","PHP","10 to 15","SQL"
"Casino website need with minimum 1000 slot game and live casino with  functionality.","https://www.upwork.com/jobs/Casino-website-need-with-minimum-1000-slot-game-and-live-casino-with-span-class-highlight-full-span-functionality_~021915181235924701271/?referrer_url_path=/nx/search/jobs/","full","","Payment verified","Rating is 0 out of 5.","0","No feedback yet","$0","Bangladesh","Fixed price","Intermediate","Est. budget:","$3,000.00","I need website line bets.io but only casino section needed.  Do not need ant sports functionality. Like as( www.viperspin.com). I am saying that again I need a  completed casino website with management and payment gateway system. I have my own vps and domain. Thank you","full","","","Web Development","SQLite","JavaScript","HTML5","MongoDB","LevelDB","10 to 15","Android"
"Neurosicne based social web app","https://www.upwork.com/jobs/Neurosicne-based-social-web-app-span-class-highlight-developer-span_~021915153751757295104/?referrer_url_path=/nx/search/jobs/","developer","","Payment unverified","Rating is 0 out of 5.","0","No feedback yet","$0","Pakistan","Fixed price","Intermediate","Est. budget:","$7,000.00","We are building a web application focused on neuroscience and need a skilled  to bring it to life. The app will involve data visualization, user interaction, and potentially AI integration for brain-related insights. Experience with neuroscience, health-tech, or data-driven apps is a big plus. MERN  or similar frameworks preferred.

Key Skills:

React / Node.js

MongoDB / PostgreSQL

Data visualization (e.g., D3.js, Chart.js)

Understanding of neuroscience or cognitive science (bonus)

Looking forward to connecting","developer","stack","","MEAN Stack Administration","Laravel","MySQL","MongoDB","PHP","API Integration","5 to 10","HIPAA"
"Web App  for Travel Challenges","https://www.upwork.com/jobs/Web-App-span-class-highlight-Development-span-for-Travel-Challenges_~021915151030507009309/?referrer_url_path=/nx/search/jobs/","Development","","Payment verified","Rating is 0 out of 5.","0","No feedback yet","$0","Mexico","Fixed price","Intermediate","Est. budget:","$5,000.00","Web App for Travel Challenge Gamification (Scalable to Mobile)

Project Overview:
I’m looking to  a travel gamification platform inspired by web apps like Polarsteps.com, but focused on geolocated challenges and community engagement. The platform will allow users to visit real-world locations, complete thematic challenges, unlock badges, collect trophies, and share their journeys with a global community. First stage will only require Mexico on the map, but soon to be scalable worldwide and multilanguage.

The initial product will be a responsive web application, built with scalability in mind to later become native iOS and Android apps.


Key Features – User Side:

🔐 Registration & Profile
Sign-up/login via Email, Google, Facebook, TikTok
Personal profile with photo, bio, transport types used, garage, travelling club, challenge progress
Public/private profile toggle

📍 Challenges & Check-ins
Visit real geolocated pins. (cities, monuments, etc)
Complete non-geolocated challenges. (try local food, adventure activity, etc)
Add the transport used for each check-in (bike, motorcycle, foot, etc.)
Check-in radius configurable per location (if possible)
Social sharing for completed challenges

📸 Proof of Visit
Photo upload required to validate visit
Automatic approval system with optional manual moderation

🤝 Community Features
Follow other users
Comment on public check-ins
Search for users, locations, and challenges


🔔 Smart Notifications (email)
Alerts for new challenges, earned badges, etc.

📊 Statistics Dashboard
Total distance traveled
Transport types used
Completed and in-progress challenges
Most visited cities/countries
etc

🏆 Badges & Trophies
For transport types used (motorcycle, RV, on foot, etc.)
For challenge completions, and partial completions.
For visit milestones (e.g., 10/25/50 places)

🏅 Leaderboards
Local, national, and global rankings
Based on number of completed challenges or locations visited
Admin Panel Features:
User management (edit/block/view stats)
Create/edit challenges
Set custom radius for pin validation
Manual and automatic moderation tools
Basic usage and engagement analytics


Example Challenge Categories for Mexico:

Magical Towns
Archaeological Sites
Beaches and Coasts
Lakes & Rivers
Nature Reserves
State Capitals
Scenic Routes
Iconic Monuments
Culinary Destinations
Adventure Activities (e.g., zipline, jetski, eat a specific dish, etc.)

Monetization Strategy:
💡 We’ll build with monetization in mind. Planned options:
Free Plan with Ads
Access to 1 national challenge
Unlimited check-ins

Premium Subscriptions (Sample):

Plan	Monthly	Annual	Main Benefits
Free	$0	$0	1 challenge, ads
Tier 1	$4.99 USD	$49.99 USD	Access to local pins, ad-free
Tier 2	$7.99 USD	$79.99 USD	 access to challenges, advanced features

All users will receive a 7-day free trial of Tier 1 upon signup.

What I'm Looking For:
Web  team or solo - dev
Experience with geolocation features, sync, photo verification systems, and user dashboards
Scalable backend
Frontend
Clean, modern UI
Experience with Firebase or similar backend-as-a-service is a plus

To Apply:
Please include:
Portfolio with relevant web app examples (especially travel or gamification tools)
Rough cost estimate range
Timeline proposal
Tech  you suggest using

Let’s build something that makes travel more fun, meaningful, and social 🚀","develop","Full","development","Web Development","JavaScript","HTML","CSS","PHP","","10 to 15",""
"Automate Deployment to Netlify hosting","https://www.upwork.com/jobs/Automate-Deployment-Netlify-hosting_~021915209883784384599/?referrer_url_path=/nx/search/jobs/","","","Payment verified","Rating is 4.4 out of 5.","4.4","4.38 Stars, based on 13 feedbacks","$600+","USA","Fixed price","Intermediate","Est. budget:","$150.00","We are seeking a talented web  to create a deploy button for our website design platform. This feature will automate the deployment process to Netlify hosting services, mirroring the functionality seen on bolt.new. The right candidate will have a solid background in web  and automation. Your skills will help us optimize our deployment workflow and improve the overall user experience.","developer","development","","Web Development","Deployment Automation","API","CI/CD","","","10 to 15",""
"PHP & Python  Needed for Software Platform Enhancement","https://www.upwork.com/jobs/PHP-amp-Python-span-class-highlight-Developer-span-Needed-for-Software-Platform-Enhancement_~021915151849737490519/?referrer_url_path=/nx/search/jobs/","Developer","","Payment verified","Rating is 0 out of 5.","0","No feedback yet","$0","United States","Hourly","Intermediate","Est. time:","1 to 3 months, Less than 30 hrs/week","We are looking for a skilled  with expertise in PHP, Python, Java, and Django to help us enhance our existing software platform. The ideal candidate should be familiar with GitHub for version control and possess strong programming skills to efficiently edit and add new functionalities to our system. Collaboration is key, so we expect excellent communication skills. If you are passionate about coding and have a keen eye for detail, we would love to hear from you!","developer","","","","Django","PHP","API","Python","JavaScript","15 to 20","Database Architecture"
"& Backend Dashboard  | Laravel PHP AI Integration  Needed","https://www.upwork.com/jobs/span-class-highlight-Full-span-span-class-highlight-Stack-span-amp-Backend-Dashboard-span-class-highlight-Developer-span-Laravel-PHP-Integration-span-class-highlight-Development-span-Needed_~021915091116303060480/?referrer_url_path=/nx/search/jobs/","Full","Stack","Payment verified","Rating is 0 out of 5.","0","No feedback yet","$0","FRA","Fixed price","Expert","Est. budget:","$150.00","& Backend Dashboard  | Laravel PHP AI Integration  Needed","Full","Stack","Developer","","PHP","API Integration","Laravel","","","5 to 10",""
"UI and BE IN JAVA SCRIPT","https://www.upwork.com/jobs/and-JAVA-SCRIPT_~021915166347436756480/?referrer_url_path=/nx/search/jobs/","","","Payment verified","Rating is 5.0 out of 5.","5.0","5.00 Star, based on 1 feedbacks","$1K+","India","Fixed price","Intermediate","Est. budget:","$100.00","UX/UI and few fields & functions. Email reply integrations and bugs fixes.","","","","AI App Development","Web Application","JavaScript","HTML","API","","5 to 10",""
"Pi Network Automation Project Blockchain","https://www.upwork.com/jobs/Network-Automation-Project-Blockchain-span-class-highlight-Developer-span_~021915140524212988061/?referrer_url_path=/nx/search/jobs/","Developer","","Payment verified","Rating is 0 out of 5.","0","No feedback yet","$0","Tunisia","Fixed price","Expert","Est. budget:","$500.00","I’m looking for an experienced Blockchain  with deep knowledge of Stellar-based networks, custom wallet architectures, and blockchain automation.

I need to  a private tool that fully automates transactions on the Pi Network, which is a modified version of the Stellar blockchain.

🔹 Here’s Exactly What I Need:
1️⃣ Private Key Derivation Tool:
The Pi Wallet uses a 24-word passphrase (similar to BIP-39) but applies a custom/private derivation method to generate the keypair.

I need a script that will:

Input: My 24-word Pi Wallet passphrase.

Output: The correct private/public keypair compatible with Pi Network.

⚠️ Since Pi Network doesn’t expose this derivation publicly, this may require reverse engineering or prior knowledge of how Pi generates its keys.

2️⃣ XDR Transaction Builder & Signer:
After obtaining the keypair, I want a tool that can:

Build raw XDR transactions manually — without using Pi Wallet or Pi Browser.

Set custom parameters:

Exact transaction fee (e.g., force 0.02 Pi, while the wallet UI forces 0.01 Pi).

Destination address, amount, memo, etc.

Custom time bounds or advanced options if needed.

Sign the transaction using the derived private key.

3️⃣ Automated Transaction Submission (API-Based):
The signed transaction (XDR) must be submitted directly to Pi Network using its Horizon API (https://api.mainnet.minepi.com).

The key point is:

🚫 No interaction with the Pi Wallet UI or Pi Browser.
✅ The entire process must run through a script that:

Instantly builds, signs, and pushes transactions.

Executes transactions in under 1 second, giving me a competitive advantage.

🎯 Objectives:
Gain  control over:

Transaction fees.

Timing and speed.

All transaction parameters.

Completely bypass the limitations of the Pi Wallet interface and manual confirmations.

Ensure the tool is secure — everything runs locally, with no third-party servers involved.

⚡ Requirements:
Proven experience with:

Stellar SDK and Horizon API.

Blockchain key derivation techniques (especially non-standard/custom methods).

Crafting and signing XDR transactions.

Cryptography and secure handling of private keys.

(Bonus) Experience in reverse engineering wallet behavior or prior work with Pi Network.

If you’ve worked on similar blockchain automation tools, especially for Stellar forks or custom wallets, I’d love to discuss further.

Let me know if you're confident in delivering this solution, along with your estimated timeline and budget.

Looking forward to your reply.

Best regards,","Developer","develop","full","Blockchain Development","Node.js","Blockchain","JavaScript","API","Python","5 to 10","Blockchain Architecture"
"Custom Web  for Tech News Website","https://www.upwork.com/jobs/Custom-Web-span-class-highlight-Development-span-for-Tech-News-Website_~021915141453683337373/?referrer_url_path=/nx/search/jobs/","Development","","Payment verified","Rating is 5.0 out of 5.","5.0","5.00 Stars, based on 6 feedbacks","$1K+","Greece","Fixed price","Intermediate","Est. budget:","$200.00","Title: Urgent: Fix Image Issues and Install Captcha on Joomla Website
Description:
I am seeking an experienced Joomla  to resolve three critical issues on my website and potentially provide ongoing support.

Issues to be addressed:
1) Images not displaying on the main page: Following a database optimization, images on the main page are not appearing. I need this corrected so that all images display properly.
2) Unable to upload images to articles: There is a problem preventing the upload of images to articles. This needs to be fixed to allow seamless image uploads.
3) Spambot protection: My website is being targeted by spambots, and I require a Captcha system to be installed to mitigate this issue.

Requirements:
- Demonstrated experience with Joomla  and troubleshooting.
- Deep knowledge of Joomla for more than 5 years.
- Ability to resolve hard bugs, work efficiently and deliver quick results.
- Portfolio from previous Joomla websites that you have developed or fixed.

Budget: $200 (fixed price)
Timeline: As soon as possible

If you are interested and possess the necessary skills, please apply with your relevant experience and your approach to resolving these issues.

Note: The  WILL BE HIRED AS A LIFETIME  of the website!
There is a work opportunity here as we have to complete our Web Design upgrade!

Thank you.","developer","development","DEVELOPER","Web Development","Joomla","MySQL","Apache HTTP Server","Web Design","PHP","15 to 20","HTML"
